AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Neogobius fluviatilis;Neogobius fluviatilis;2379105;Metazoa;perciformes;Gobiidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Neogobius melanostomus;Neogobius melanostomus;2379089;Metazoa;perciformes;Gobiidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Mustela vison;Neovison vison;5218823;Metazoa;carnivora;Mustelidae;chordata;mammalia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Nephrolepis brownii;Nephrolepis brownii;4196780;Plantae;NA;Oleandraceae;pteridophyta;filicopsida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Neyraudia reynaudiana;Neyraudia reynaudiana;2705687;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Noronhia emarginata;Noronhia emarginata;8227431;Plantae;lamiales;Oleaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Notropis stramineus;Notropis stramineus;2362216;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Nymphaea lotus;Nymphaea lotus;2882429;Plantae;nymphaeales;Nymphaeaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Nymphoides peltata;Nymphoides peltata;8810827;Plantae;asterales;Menyanthaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Oldenlandia lancifolia;Oldenlandia lancifolia;2916221;Plantae;gentianales;Rubiaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
